condition	GO_enrichment	concord	compound	SGTC_ID	SGTC_ID.BP	signature	type	drug
UBC_7978188:46.38uM	UBC_7978188:46.38uM	no GO enrichment							7978188
UBC_7979103:53.79uM	UBC_7979103:53.79uM	no GO enrichment							7979103
UBC_7979373:200uM	UBC_7979373:200uM	no GO enrichment							7979373
UBC_7980721:200uM	UBC_7980721:200uM	no GO enrichment							7980721
UBC_7982454:138.89uM	UBC_7982454:138.89uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_7982454_2019-09-16-20-24-26_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_7982454</a>	0.66	3413-2614	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1390>SGTC_1390</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1390.BP>SGTC_1390.BP</a>	fatty acid desaturase (OLE1)	major	7982454
UBC_7982706:58.44uM	UBC_7982706:58.44uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_7982706_2019-09-16-20-24-30_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_7982706</a>	0.98	st057639	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1865>SGTC_1865</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1865.BP>SGTC_1865.BP</a>	22	minor	7982706
UBC_7982904:15.77uM	UBC_7982904:15.77uM	no GO enrichment							7982904
UBC_7987427:183.45uM	UBC_7987427:183.45uM	no GO enrichment							7987427
UBC_7987486:176.74uM	UBC_7987486:176.74uM	no GO enrichment							7987486
UBC_7987624:58.44uM	UBC_7987624:58.44uM	no GO enrichment							7987624
UBC_7989630:71.43uM	UBC_7989630:71.43uM	no GO enrichment							7989630
UBC_7990637:118.86uM	UBC_7990637:118.86uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_7990637_2019-09-16-20-24-49_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_7990637</a>	0.35	st012954	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1659>SGTC_1659</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1659.BP>SGTC_1659.BP</a>	149	minor	7990637
UBC_7990716:14.84uM	UBC_7990716:14.84uM	no GO enrichment							7990716
UBC_7990960:76.95uM	UBC_7990960:76.95uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_7990960_2019-09-16-20-24-55_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_7990960</a>	0.83	7990960	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2344>SGTC_2344</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2344.BP>SGTC_2344.BP</a>	29	minor	7990960
UBC_7992007:71.43uM	UBC_7992007:71.43uM	no GO enrichment							7992007
UBC_7992541:19.48uM	UBC_7992541:19.48uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_7992541_2019-09-16-20-25-02_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_7992541</a>	0.93	erythromycin ethylsuccinate	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1576>SGTC_1576</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1576.BP>SGTC_1576.BP</a>	163	minor	7992541
UBC_7992654:58.14uM	UBC_7992654:58.14uM	no GO enrichment							7992654
UBC_7992743:58.44uM	UBC_7992743:58.44uM	no GO enrichment							7992743
UBC_7992762:51.95uM	UBC_7992762:51.95uM	no GO enrichment							7992762
UBC_7993847:71.43uM	UBC_7993847:71.43uM	no GO enrichment							7993847
UBC_7994718:71.43uM	UBC_7994718:71.43uM	no GO enrichment							7994718
UBC_7995342:71.43uM	UBC_7995342:71.43uM	no GO enrichment							7995342
UBC_7996655:46.38uM	UBC_7996655:46.38uM	no GO enrichment							7996655
UBC_7996756:12.99uM	UBC_7996756:12.99uM	no GO enrichment							7996756
UBC_7996764:71.43uM	UBC_7996764:71.43uM	no GO enrichment							7996764
UBC_7998094:58.44uM	UBC_7998094:58.44uM	no GO enrichment							7998094
UBC_7998404:51.95uM	UBC_7998404:51.95uM	no GO enrichment							7998404
UBC_7998861:71.43uM	UBC_7998861:71.43uM	no GO enrichment							7998861
UBC_7999036:19.48uM	UBC_7999036:19.48uM	no GO enrichment							7999036
UBC_7999257:32.47uM	UBC_7999257:32.47uM	no GO enrichment							7999257
UBC_7999974:200uM	UBC_7999974:200uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_7999974_2019-09-16-20-25-47_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_7999974</a>	0.68	7999974	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2338>SGTC_2338</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2338.BP>SGTC_2338.BP</a>	257	minor	7999974
UBC_8-chlro-1-tetrahydronorharmanone:90.6uM	UBC_8-chlro-1-tetrahydronorharmanone:90.6uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_8-chlro-1-tetrahydronorharmanone_2019-09-16-20-25-50_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_8-chlro-1-tetrahydronorharmanone</a>	0.96	5685496	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2164>SGTC_2164</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2164.BP>SGTC_2164.BP</a>	42	minor	8-chlro-1-tetrahydronorharmanone
UBC_8-methoxypsoralen:92.5uM	UBC_8-methoxypsoralen:92.5uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_8-methoxypsoralen_2019-09-16-20-25-54_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_8-methoxypsoralen</a>	0.69	8-methoxypsoralen	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1525>SGTC_1525</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1525.BP>SGTC_1525.BP</a>	DNA damage response	major	8-methoxypsoralen
UBC_9000433:200uM	UBC_9000433:200uM	no GO enrichment							9000433
UBC_9000675:19.48uM	UBC_9000675:19.48uM	no GO enrichment							9000675
UBC_9000894:45.46uM	UBC_9000894:45.46uM	no GO enrichment							9000894
UBC_9001315:45.46uM	UBC_9001315:45.46uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9001315_2019-09-16-20-26-06_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9001315</a>	1	3909-7979	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1226>SGTC_1226</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1226.BP>SGTC_1226.BP</a>	89	minor	9001315
UBC_9001755:58.44uM	UBC_9001755:58.44uM	no GO enrichment							9001755
UBC_9001819:198.65uM	UBC_9001819:198.65uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9001819_2019-09-16-20-26-14_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9001819</a>	0.82	1315-0019	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_288>SGTC_288</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_288.BP>SGTC_288.BP</a>	RSC & ERG11	major	9001819
UBC_9002687:71.43uM	UBC_9002687:71.43uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9002687_2019-09-16-20-26-19_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9002687</a>	0.98	7227154	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2203>SGTC_2203</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2203.BP>SGTC_2203.BP</a>	9	minor	9002687
UBC_9003024:42.97uM	UBC_9003024:42.97uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9003024_2019-09-16-20-26-23_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9003024</a>	0.7	6126565	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2188>SGTC_2188</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2188.BP>SGTC_2188.BP</a>	mitochondrial processes	major	9003024
UBC_9003951:25.97uM	UBC_9003951:25.97uM	no GO enrichment							9003951
UBC_9004761:38.96uM	UBC_9004761:38.96uM	no GO enrichment							9004761
UBC_9005661:71.43uM	UBC_9005661:71.43uM	no GO enrichment							9005661
UBC_9006588:71.43uM	UBC_9006588:71.43uM	no GO enrichment							9006588
UBC_9008476:45.46uM	UBC_9008476:45.46uM	no GO enrichment							9008476
UBC_9008642:19.48uM	UBC_9008642:19.48uM	no GO enrichment							9008642
UBC_9008771:71.43uM	UBC_9008771:71.43uM	no GO enrichment							9008771
UBC_9009005:19.48uM	UBC_9009005:19.48uM	no GO enrichment							9009005
UBC_9009472:200uM	UBC_9009472:200uM	no GO enrichment							9009472
UBC_9010103:25.97uM	UBC_9010103:25.97uM	no GO enrichment							9010103
UBC_9010168:62.78uM	UBC_9010168:62.78uM	no GO enrichment							9010168
UBC_9010338:19.48uM	UBC_9010338:19.48uM	no GO enrichment							9010338
UBC_9010536:32.5uM	UBC_9010536:32.5uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9010536_2019-09-16-20-27-06_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9010536</a>	0.79	9010536	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2925>SGTC_2925</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2925.BP>SGTC_2925.BP</a>	azole & statin	major	9010536
UBC_9010538:184.68uM	UBC_9010538:184.68uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9010538_2019-09-16-20-27-10_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9010538</a>	0.97	7227154	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2203>SGTC_2203</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2203.BP>SGTC_2203.BP</a>	9	minor	9010538
UBC_9010726:65.15uM	UBC_9010726:65.15uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9010726_2019-09-16-20-27-13_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9010726</a>	0.51	9010726	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2926>SGTC_2926</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2926.BP>SGTC_2926.BP</a>		unique	9010726
UBC_9011197:71.43uM	UBC_9011197:71.43uM	no GO enrichment							9011197
UBC_9011484:9.79uM	UBC_9011484:9.79uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9011484_2019-09-16-20-27-20_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9011484</a>	0.78	9013230	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2930>SGTC_2930</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2930.BP>SGTC_2930.BP</a>	heme biosynthesis & mitochondrial translocase	major	9011484
UBC_9011784:42.97uM	UBC_9011784:42.97uM	no GO enrichment							9011784
UBC_9011802:47.9uM	UBC_9011802:47.9uM	no GO enrichment							9011802
UBC_9012552:45.46uM	UBC_9012552:45.46uM	no GO enrichment							9012552
UBC_9013230:14.89uM	UBC_9013230:14.89uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9013230_2019-09-16-20-27-33_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9013230</a>	0.88	9013230	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2930>SGTC_2930</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2930.BP>SGTC_2930.BP</a>	heme biosynthesis & mitochondrial translocase	major	9013230
UBC_9013348:24.6uM	UBC_9013348:24.6uM	no GO enrichment							9013348
UBC_9013952:38.96uM	UBC_9013952:38.96uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9013952_2019-09-16-20-27-39_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9013952</a>	0.53	melphalan	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_251>SGTC_251</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_251.BP>SGTC_251.BP</a>	DNA damage response	major	9013952
UBC_9014342:25.29uM	UBC_9014342:25.29uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9014342_2019-09-16-20-27-43_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9014342</a>	0.86	bromochlorosalicylanilide	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2230>SGTC_2230</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2230.BP>SGTC_2230.BP</a>	36	minor	9014342
UBC_9014674:55.67uM	UBC_9014674:55.67uM	no GO enrichment							9014674
UBC_9014885:67.46uM	UBC_9014885:67.46uM	no GO enrichment							9014885
UBC_9015042:58.44uM	UBC_9015042:58.44uM	no GO enrichment							9015042
UBC_9015429:58.44uM	UBC_9015429:58.44uM	no GO enrichment							9015429
UBC_9015922:71.43uM	UBC_9015922:71.43uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9015922_2019-09-16-20-28-00_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9015922</a>	0.67	st050076	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1804>SGTC_1804</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1804.BP>SGTC_1804.BP</a>		unique	9015922
UBC_9016370:25.97uM	UBC_9016370:25.97uM	no GO enrichment							9016370
UBC_9016525:58.44uM	UBC_9016525:58.44uM	no GO enrichment							9016525
UBC_9016711:44.54uM	UBC_9016711:44.54uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9016711_2019-09-16-20-28-09_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9016711</a>	0.43	berberine	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2511>SGTC_2511</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2511.BP>SGTC_2511.BP</a>	60S ribosome export	major	9016711
UBC_9017922|A:200uM	UBC_9017922|A:200uM	no GO enrichment							9017922
UBC_9017922|B:200uM	UBC_9017922|B:200uM	no GO enrichment							9017922
UBC_9018011:154.17uM	UBC_9018011:154.17uM	no GO enrichment							9018011
UBC_9018338:71.43uM	UBC_9018338:71.43uM	no GO enrichment							9018338
UBC_9019321:12.99uM	UBC_9019321:12.99uM	no GO enrichment							9019321
UBC_9019404:25.97uM	UBC_9019404:25.97uM	no GO enrichment							9019404
UBC_9022109:38.96uM	UBC_9022109:38.96uM	no GO enrichment							9022109
UBC_9022375:71.43uM	UBC_9022375:71.43uM	no GO enrichment							9022375
UBC_9022445:71.43uM	UBC_9022445:71.43uM	no GO enrichment							9022445
UBC_9022543:33.42uM	UBC_9022543:33.42uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9022543_2019-09-16-20-28-40_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9022543</a>	0.85	lomofungin	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2718>SGTC_2718</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2718.BP>SGTC_2718.BP</a>	mitochondrial processes	major	9022543
UBC_9022671:12.99uM	UBC_9022671:12.99uM	no GO enrichment							9022671
UBC_9022925:19.48uM	UBC_9022925:19.48uM	no GO enrichment							9022925
UBC_9023730:187.07uM	UBC_9023730:187.07uM	no GO enrichment							9023730
UBC_9023854:51.95uM	UBC_9023854:51.95uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9023854_2019-09-16-20-28-53_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9023854</a>	0.99	1486-1223	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1338>SGTC_1338</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1338.BP>SGTC_1338.BP</a>	107	minor	9023854
UBC_9023895:38.85uM	UBC_9023895:38.85uM	no GO enrichment							9023895
UBC_9024559:71.43uM	UBC_9024559:71.43uM	no GO enrichment							9024559
UBC_9024595:19.48uM	UBC_9024595:19.48uM	no GO enrichment							9024595
UBC_9024691:58.44uM	UBC_9024691:58.44uM	no GO enrichment							9024691
UBC_9025725:38.96uM	UBC_9025725:38.96uM	no GO enrichment							9025725
UBC_9025781:8.96uM	UBC_9025781:8.96uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9025781_2019-09-16-20-29-11_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9025781</a>	0.5	9025781	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2858>SGTC_2858</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2858.BP>SGTC_2858.BP</a>	sphingolipid biosynthesis & PDR1	major	9025781
UBC_9026794:32.47uM	UBC_9026794:32.47uM	no GO enrichment							9026794
UBC_9026858:72.31uM	UBC_9026858:72.31uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9026858_2019-09-16-20-29-19_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9026858</a>	0.46	4'-Methoxychalcone	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2498>SGTC_2498</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2498.BP>SGTC_2498.BP</a>	RPP1 & pyrimidine depletion	major	9026858
UBC_9027634:71.43uM	UBC_9027634:71.43uM	no GO enrichment							9027634
UBC_9027995:87.8uM	UBC_9027995:87.8uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9027995_2019-09-16-20-29-26_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9027995</a>	0.69	9027995	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2352>SGTC_2352</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2352.BP>SGTC_2352.BP</a>	tubulin folding & SWR complex	major	9027995
UBC_9028643:45.46uM	UBC_9028643:45.46uM	no GO enrichment							9028643
UBC_9028737:58.44uM	UBC_9028737:58.44uM	no GO enrichment							9028737
UBC_9030313:51.95uM	UBC_9030313:51.95uM	no GO enrichment							9030313
UBC_9031399:185.94uM	UBC_9031399:185.94uM	no GO enrichment							9031399
UBC_9031566:143.75uM	UBC_9031566:143.75uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9031566_2019-09-16-20-29-40_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9031566</a>	0.72	k048-0088	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_342>SGTC_342</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_342.BP>SGTC_342.BP</a>	RSC & ERG11	major	9031566
UBC_9034121:116uM	UBC_9034121:116uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9034121_2019-09-16-20-29-43_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9034121</a>	0.75	9034121	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2361>SGTC_2361</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2361.BP>SGTC_2361.BP</a>	RSC complex & mRNA processing	major	9034121
UBC_9034245:58.44uM	UBC_9034245:58.44uM	no GO enrichment							9034245
UBC_9034755:47.6uM	UBC_9034755:47.6uM	no GO enrichment							9034755
UBC_9035213:200uM	UBC_9035213:200uM	no GO enrichment							9035213
UBC_9035439:200uM	UBC_9035439:200uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9035439_2019-09-16-20-29-55_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9035439</a>	0.86	7354201	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2228>SGTC_2228</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2228.BP>SGTC_2228.BP</a>	endomembrane recycling	major	9035439
UBC_9035592:200uM	UBC_9035592:200uM	no GO enrichment							9035592
UBC_9035608:32.47uM	UBC_9035608:32.47uM	no GO enrichment							9035608
UBC_9035899:200uM	UBC_9035899:200uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9035899_2019-09-16-20-30-04_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9035899</a>	0.98	9035899	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2382>SGTC_2382</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2382.BP>SGTC_2382.BP</a>	60S ribosome export	major	9035899
UBC_9036125:200uM	UBC_9036125:200uM	no GO enrichment							9036125
UBC_9036245:200uM	UBC_9036245:200uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9036245_2019-09-16-20-30-09_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9036245</a>	0.95	5685496	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2164>SGTC_2164</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2164.BP>SGTC_2164.BP</a>	42	minor	9036245
UBC_9036370:36.88uM	UBC_9036370:36.88uM	no GO enrichment							9036370
UBC_9037157:4uM	UBC_9037157:4uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9037157_2019-09-16-20-30-16_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9037157</a>	0.82	9037157	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2358>SGTC_2358</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2358.BP>SGTC_2358.BP</a>	113	minor	9037157
UBC_9037858:32.47uM	UBC_9037858:32.47uM	no GO enrichment							9037858
UBC_9038016:29.96uM	UBC_9038016:29.96uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9038016_2019-09-16-20-30-22_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9038016</a>	0.62	0849-0099	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_12>SGTC_12</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_12.BP>SGTC_12.BP</a>	217	minor	9038016
UBC_9038235:15.59uM	UBC_9038235:15.59uM	no GO enrichment							9038235
UBC_9038510:12.99uM	UBC_9038510:12.99uM	no GO enrichment							9038510
UBC_9038528:12.99uM	UBC_9038528:12.99uM	no GO enrichment							9038528
UBC_9039098:71.43uM	UBC_9039098:71.43uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_9039098_2019-09-16-20-30-35_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_9039098</a>	0.43	9039098	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2867>SGTC_2867</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2867.BP>SGTC_2867.BP</a>	iron homeostasis	major	9039098
